SECURITY_DES,BB_COMPOSITE,PX_LAST,CPN,LONG_COMP_NAME,MATURITY,CRNCY,CNV_PREM,DELTA,YLD_YTM_MID,CNTRY_OF_RISK,AMT_OUTSTANDING,CONVERTIBLE,SRCH_ASSET_CLASS
Bond_277,B,93.66,2.33,Issuer_D,2032-03-01,EUR,61.18,0.44,3.56,US,865000000,Y,Corporates
Bond_281,BB,94.98,4.9,Issuer_B,2026-06-08,JPY,87.93,0.83,3.21,FR,330000000,Y,Corporates
Bond_283,B,103.73,2.72,Issuer_C,2034-01-14,EUR,4.9,0.73,1.37,DE,798000000,N,Corporates
Bond_284,A,97.11,1.57,Issuer_A,2027-03-24,JPY,11.91,0.43,0.25,US,205000000,Y,Corporates
Bond_285,A,105.44,0.54,Issuer_B,2033-02-12,JPY,16.25,0.61,0.78,US,680000000,Y,Corporates
Bond_286,BBB,107.04,1.23,Issuer_A,2031-09-01,USD,78.86,0.98,4.38,JP,12000000,N,Governments
Bond_287,A,93.74,4.34,Issuer_C,2032-02-06,GBP,81.77,0.75,2.02,GB,220000000,Y,Corporates
Bond_288,CCC,99.62,1.12,Issuer_D,2034-11-26,USD,31.14,0.63,4.22,GB,803000000,Y,Corporates
Bond_289,BB,93.31,2.65,Issuer_B,2034-03-05,USD,64.44,0.4,4.26,FR,212000000,Y,Corporates
Bond_290,BBB,105.1,2.07,Issuer_D,2026-10-25,JPY,30.02,0.61,1.14,JP,634000000,Y,Corporates
Bond_291,BBB,105.03,0.64,Issuer_B,2027-11-23,USD,91.73,0.44,3.16,JP,573000000,Y,Corporates
Bond_292,AA,97.48,3.64,Issuer_D,2025-05-12,EUR,7.37,0.6,4.24,DE,538000000,N,Governments
Bond_293,CCC,106.63,2.69,Issuer_C,2033-05-16,USD,74.45,0.53,3.07,US,209000000,N,Governments
Bond_294,BBB,90.67,4.76,Issuer_B,2025-04-03,GBP,61.14,0.18,2.7,JP,520000000,Y,Corporates
Bond_295,B,99.01,1.67,Issuer_A,2034-02-16,EUR,80.27,0.69,1.46,US,360000000,Y,Corporates
Bond_296,A,92.86,4.37,Issuer_C,2028-04-09,GBP,1.81,0.19,3.55,GB,576000000,N,Corporates
Bond_297,AA,109.72,2.18,Issuer_D,2026-03-20,JPY,23.3,0.65,3.84,DE,125000000,N,Governments
Bond_298,B,96.65,2.47,Issuer_D,2031-05-16,USD,57.81,0.27,4.56,GB,126000000,Y,Corporates
Bond_299,CCC,108.5,4.62,Issuer_D,2031-12-21,USD,55.4,0.67,1.41,JP,761000000,N,Governments
Bond_300,CCC,93.39,3.02,Issuer_B,2030-07-28,JPY,27.63,0.66,0.58,FR,136000000,Y,Corporates
Bond_301,BB,108.42,2.63,Issuer_C,2034-07-04,USD,94.81,0.14,3.76,JP,254000000,N,Governments
Bond_302,B,104.28,3.25,Issuer_D,2026-03-14,USD,80.53,0.41,0.28,US,741000000,N,Corporates
Bond_303,BB,109.9,2.63,Issuer_D,2028-11-10,GBP,20.54,0.77,2.6,US,350000000,Y,Corporates
Bond_304,B,102.33,1.49,Issuer_C,2034-02-24,JPY,31.37,0.18,1.88,DE,661000000,Y,Corporates
Bond_305,B,108.09,0.38,Issuer_B,2025-01-23,GBP,64.13,0.28,3.87,JP,780000000,N,Corporates
Bond_306,AA,92.56,1.74,Issuer_D,2032-05-28,JPY,44.5,0.6,3.31,US,491000000,Y,Corporates
Bond_307,AA,98.9,2.4,Issuer_C,2034-02-23,EUR,47.75,0.08,1.92,JP,281000000,Y,Corporates
Bond_309,AAA,98.61,4.14,Issuer_C,2025-03-05,GBP,35.93,0.33,2.45,US,19000000,N,Corporates
Bond_310,A,93.94,2.14,Issuer_B,2027-03-17,GBP,18.31,0.08,3.6,DE,449000000,N,Corporates
Bond_311,BB,100.81,4.32,Issuer_C,2030-03-16,USD,65.82,0.13,3.26,GB,413000000,N,Governments
Bond_312,AAA,97.02,2.68,Issuer_A,2025-08-06,USD,89.15,0.37,4.16,DE,75000000,Y,Corporates
Bond_313,AAA,101.21,4.1,Issuer_C,2029-08-12,GBP,97.09,0.36,4.31,JP,362000000,Y,Corporates
Bond_315,AAA,92.16,2.36,Issuer_D,2034-06-26,GBP,69.68,0.04,4.16,JP,793000000,Y,Corporates
Bond_316,AAA,104.32,2.77,Issuer_A,2025-01-16,JPY,70.08,0.96,2.93,DE,508000000,N,Corporates
Bond_317,A,102.57,0.69,Issuer_B,2033-11-06,EUR,93.63,0.84,4.14,FR,694000000,Y,Corporates
Bond_318,BB,104.15,4.68,Issuer_B,2033-11-21,EUR,2.85,0.64,1.72,GB,516000000,N,Governments
Bond_319,A,105.95,1.72,Issuer_A,2028-12-04,EUR,93.91,0.17,0.48,DE,778000000,Y,Corporates
Bond_320,AAA,109.02,2.21,Issuer_C,2033-12-27,EUR,63.91,0.6,0.09,DE,971000000,N,Corporates
Bond_321,BB,102.47,3.11,Issuer_A,2032-08-18,GBP,64.67,0.12,1.61,US,616000000,Y,Corporates
Bond_322,AA,98.83,2.25,Issuer_A,2033-12-18,GBP,50.77,0.59,4.92,GB,72000000,Y,Corporates
Bond_323,CCC,102.9,1.16,Issuer_B,2030-01-01,EUR,1.97,0.05,4.61,DE,329000000,Y,Corporates
Bond_324,A,99.46,4.73,Issuer_A,2031-08-02,GBP,5.39,0.05,2.87,JP,222000000,Y,Corporates
Bond_325,B,99.6,0.98,Issuer_A,2032-07-19,JPY,0.23,0.94,0.77,GB,418000000,Y,Corporates
Bond_326,CCC,99.98,4.49,Issuer_A,2035-03-09,USD,91.9,0.45,1.72,FR,43000000,N,Governments
Bond_327,BB,101.32,1.42,Issuer_B,2031-07-13,GBP,29.12,0.63,1.18,FR,91000000,Y,Corporates
Bond_329,AA,97.22,4.87,Issuer_C,2025-01-25,JPY,94.81,0.36,4.97,JP,988000000,N,Governments
Bond_330,AA,96.44,1.52,Issuer_B,2032-06-16,EUR,91.55,0.56,3.32,FR,367000000,Y,Corporates
Bond_332,B,100.91,1.5,Issuer_A,2029-01-03,GBP,25.26,0.72,2.48,US,878000000,N,Governments
Bond_333,A,106.19,4.72,Issuer_C,2025-07-10,GBP,36.57,0.29,2.92,FR,897000000,N,Corporates
Bond_334,AA,102.99,1.44,Issuer_A,2035-11-05,GBP,15.68,0.65,3.01,GB,110000000,N,Corporates
Bond_335,BB,106.8,1.49,Issuer_B,2025-06-17,JPY,32.87,0.03,4.02,DE,685000000,N,Corporates
Bond_336,BBB,102.62,3.29,Issuer_D,2026-10-10,USD,59.13,0.81,2.2,FR,470000000,N,Corporates
Bond_337,CCC,102.38,5.0,Issuer_C,2035-10-25,USD,30.58,0.63,0.75,US,767000000,Y,Corporates
Bond_338,AAA,107.93,1.18,Issuer_C,2027-08-01,USD,82.61,0.06,4.08,GB,613000000,Y,Corporates
Bond_339,AA,98.73,1.7,Issuer_A,2029-10-12,EUR,2.65,0.41,0.05,JP,302000000,Y,Corporates
Bond_340,CCC,92.97,3.95,Issuer_C,2026-03-15,USD,95.04,0.35,0.94,JP,368000000,Y,Corporates
Bond_342,BB,93.03,1.12,Issuer_D,2035-05-09,EUR,8.01,0.18,1.29,JP,527000000,Y,Corporates
Bond_344,B,96.56,0.48,Issuer_D,2031-08-10,USD,26.57,0.09,2.55,US,235000000,N,Corporates
Bond_345,AA,100.14,4.48,Issuer_B,2028-04-28,USD,44.86,0.56,3.09,JP,534000000,Y,Corporates
Bond_346,B,100.06,2.52,Issuer_B,2025-08-10,GBP,24.82,0.32,2.58,DE,459000000,N,Corporates
Bond_347,BBB,109.8,3.63,Issuer_B,2030-07-15,USD,4.46,0.58,3.98,DE,359000000,Y,Corporates
Bond_348,BBB,101.6,0.15,Issuer_A,2035-11-11,GBP,86.69,0.16,3.83,FR,957000000,N,Corporates
Bond_350,CCC,109.89,0.4,Issuer_B,2034-08-27,JPY,41.04,0.01,4.08,FR,482000000,Y,Corporates
Bond_351,CCC,91.64,4.57,Issuer_D,2033-03-01,EUR,21.09,0.96,4.62,FR,409000000,N,Governments
Bond_352,BB,100.87,2.11,Issuer_A,2034-09-03,GBP,31.55,0.43,3.46,DE,440000000,N,Corporates
Bond_353,B,101.98,2.32,Issuer_C,2028-07-20,USD,39.4,0.18,3.51,JP,496000000,Y,Corporates
Bond_354,A,105.43,0.83,Issuer_D,2035-11-01,GBP,33.86,0.15,1.25,JP,156000000,Y,Corporates
Bond_355,AAA,105.78,0.2,Issuer_C,2026-07-08,JPY,18.78,0.22,2.07,JP,819000000,Y,Corporates
Bond_358,AAA,94.76,0.53,Issuer_D,2031-06-27,USD,43.47,0.23,2.62,FR,24000000,Y,Corporates
Bond_359,BBB,104.68,3.95,Issuer_D,2035-09-02,USD,74.32,0.19,2.47,DE,857000000,Y,Corporates
Bond_360,A,92.47,3.18,Issuer_D,2032-03-16,JPY,61.57,0.25,3.02,US,549000000,Y,Corporates
Bond_361,AA,98.44,4.42,Issuer_B,2028-02-14,EUR,15.3,0.18,1.93,JP,988000000,N,Governments
Bond_362,AAA,106.25,1.53,Issuer_D,2032-08-25,USD,5.72,0.23,2.17,GB,803000000,N,Governments
Bond_363,BBB,91.64,3.16,Issuer_B,2025-10-24,JPY,37.35,0.25,3.19,JP,642000000,Y,Corporates
Bond_364,B,95.99,1.71,Issuer_B,2030-02-02,EUR,80.14,0.49,1.94,US,700000000,Y,Corporates
Bond_365,AAA,104.86,1.36,Issuer_C,2033-03-11,JPY,6.94,0.82,3.27,FR,37000000,Y,Corporates
Bond_366,B,99.11,2.91,Issuer_B,2028-01-17,JPY,40.3,0.68,4.26,DE,584000000,Y,Corporates
Bond_368,B,92.38,2.89,Issuer_D,2034-06-15,USD,66.71,0.94,3.73,FR,44000000,Y,Corporates
Bond_369,CCC,91.64,1.77,Issuer_D,2027-06-10,JPY,56.93,0.75,4.6,DE,308000000,Y,Corporates
Bond_370,AA,101.3,3.94,Issuer_A,2029-07-12,JPY,68.99,0.38,2.49,FR,206000000,N,Corporates
Bond_372,BBB,104.73,2.16,Issuer_B,2030-06-11,GBP,16.0,0.88,0.21,GB,846000000,Y,Corporates
Bond_373,AA,101.95,3.9,Issuer_B,2032-01-19,USD,35.96,0.85,2.74,GB,811000000,Y,Corporates
Bond_374,BB,103.17,1.19,Issuer_C,2035-01-25,JPY,95.38,0.71,1.8,JP,581000000,N,Governments
Bond_375,AA,94.76,1.92,Issuer_B,2034-05-12,USD,35.18,0.18,1.24,FR,231000000,N,Governments
Bond_376,BB,97.53,2.66,Issuer_D,2034-06-16,GBP,70.84,0.29,4.06,GB,77000000,Y,Corporates
Bond_377,CCC,102.45,0.92,Issuer_C,2034-07-02,USD,4.1,0.35,2.58,JP,634000000,N,Corporates
Bond_378,B,93.31,0.25,Issuer_D,2031-04-15,USD,79.25,0.01,4.41,JP,899000000,N,Corporates
Bond_379,CCC,97.05,1.63,Issuer_C,2029-03-09,EUR,96.68,0.37,2.38,FR,791000000,Y,Corporates
Bond_380,BB,106.1,4.23,Issuer_C,2025-03-28,USD,37.38,0.92,4.13,JP,371000000,N,Corporates
Bond_381,AA,98.67,2.89,Issuer_A,2035-08-27,JPY,58.87,0.35,2.53,US,273000000,Y,Corporates
Bond_382,A,90.02,2.63,Issuer_B,2035-03-21,EUR,44.01,0.15,3.28,US,343000000,Y,Corporates
Bond_383,AA,103.3,4.09,Issuer_B,2027-03-27,JPY,61.0,0.8,1.55,JP,44000000,Y,Corporates
Bond_385,CCC,102.99,1.52,Issuer_C,2035-11-15,EUR,60.89,0.84,3.5,GB,54000000,Y,Corporates
Bond_386,BBB,100.37,3.5,Issuer_A,2035-10-17,USD,2.38,0.3,1.21,US,42000000,Y,Corporates
Bond_387,AA,95.08,2.59,Issuer_D,2031-10-03,USD,16.52,0.75,4.1,US,106000000,Y,Corporates
Bond_388,AAA,100.68,4.4,Issuer_A,2030-10-01,JPY,99.23,0.89,2.74,GB,906000000,Y,Corporates
Bond_389,A,99.79,4.28,Issuer_D,2026-09-02,EUR,73.7,0.78,1.34,FR,860000000,N,Governments
Bond_390,AAA,91.13,3.25,Issuer_C,2028-02-24,GBP,81.98,0.83,2.04,JP,634000000,N,Corporates
Bond_391,B,94.4,0.36,Issuer_A,2025-05-12,USD,86.15,0.13,4.07,GB,306000000,N,Governments
Bond_392,A,100.05,4.98,Issuer_C,2031-08-23,EUR,92.33,0.23,2.02,DE,905000000,Y,Corporates
Bond_393,CCC,92.14,1.81,Issuer_A,2034-03-13,JPY,18.17,0.44,1.21,DE,979000000,N,Corporates
Bond_394,BB,104.51,3.86,Issuer_B,2029-02-17,GBP,73.05,0.62,2.43,JP,735000000,N,Governments
Bond_396,CCC,90.75,3.48,Issuer_D,2032-01-08,EUR,55.36,0.62,2.01,JP,851000000,Y,Corporates
Bond_397,CCC,108.04,2.46,Issuer_C,2033-10-16,USD,87.37,0.27,2.78,GB,589000000,Y,Corporates
Bond_398,CCC,98.0,3.32,Issuer_A,2032-04-04,JPY,85.11,0.7,1.53,GB,141000000,N,Governments
Bond_399,BBB,90.57,2.03,Issuer_B,2033-09-22,GBP,80.28,0.31,4.6,FR,432000000,N,Governments
Bond_400,AA,109.51,2.04,Issuer_C,2034-06-11,USD,47.62,0.99,0.9,US,760000000,N,Governments
Bond_401,BB,97.98,4.2,Issuer_D,2025-11-20,GBP,30.81,0.4,4.63,DE,359000000,Y,Corporates
Bond_403,AAA,91.98,2.93,Issuer_A,2032-11-14,JPY,16.06,0.58,1.19,US,781000000,Y,Corporates
Bond_404,BB,97.01,4.59,Issuer_A,2031-06-25,EUR,7.7,0.03,1.25,JP,695000000,Y,Corporates
Bond_405,CCC,101.64,1.94,Issuer_C,2031-12-11,USD,90.04,0.72,4.85,US,359000000,N,Corporates
Bond_407,AAA,99.88,1.01,Issuer_A,2030-02-27,USD,17.12,0.61,4.36,GB,736000000,Y,Corporates
Bond_408,AA,108.16,1.25,Issuer_D,2035-06-21,USD,44.98,0.48,0.16,JP,410000000,Y,Corporates
Bond_409,AA,92.49,1.06,Issuer_A,2032-09-21,GBP,7.28,0.21,3.07,FR,935000000,Y,Corporates
Bond_410,AA,98.08,1.09,Issuer_A,2030-08-20,EUR,84.98,0.89,4.4,GB,519000000,N,Governments
Bond_411,BB,92.9,4.78,Issuer_C,2031-01-06,EUR,24.07,0.1,2.85,FR,559000000,Y,Corporates
Bond_412,BB,103.18,1.35,Issuer_D,2032-10-18,USD,98.23,0.52,4.62,GB,679000000,N,Governments
Bond_413,A,106.79,2.14,Issuer_C,2028-08-10,JPY,68.86,0.26,3.58,DE,420000000,Y,Corporates
Bond_414,B,96.8,2.14,Issuer_B,2026-03-15,JPY,96.89,0.42,3.21,FR,573000000,Y,Corporates
Bond_415,AA,94.88,2.31,Issuer_B,2029-09-27,USD,25.99,0.61,0.27,DE,697000000,Y,Corporates
Bond_417,CCC,100.68,3.67,Issuer_D,2035-10-26,EUR,27.29,0.41,3.5,GB,327000000,Y,Corporates
Bond_418,B,107.48,0.21,Issuer_D,2026-10-20,GBP,59.03,0.81,1.71,JP,345000000,Y,Corporates
Bond_419,BBB,103.71,4.36,Issuer_D,2030-07-24,USD,23.45,0.37,3.88,FR,977000000,Y,Corporates
Bond_420,CCC,96.32,3.73,Issuer_D,2027-09-26,EUR,8.92,0.52,4.46,DE,921000000,Y,Corporates
Bond_421,A,92.81,3.37,Issuer_C,2028-03-06,USD,85.12,0.78,2.38,DE,367000000,Y,Corporates
Bond_422,BBB,102.77,1.48,Issuer_D,2029-01-24,GBP,43.28,0.21,1.17,DE,676000000,Y,Corporates
Bond_423,BBB,95.44,1.98,Issuer_D,2025-11-16,USD,72.15,0.2,2.42,FR,138000000,Y,Corporates
Bond_424,BB,102.82,2.57,Issuer_B,2032-10-15,USD,15.93,0.28,4.41,FR,365000000,Y,Corporates
Bond_425,BB,101.03,0.49,Issuer_A,2035-09-07,USD,19.6,0.05,2.82,GB,769000000,Y,Corporates
Bond_426,BB,96.09,0.5,Issuer_D,2035-07-06,USD,21.51,0.54,3.96,GB,210000000,N,Governments
Bond_427,A,95.98,1.77,Issuer_B,2030-10-17,EUR,15.34,0.79,0.49,FR,296000000,Y,Corporates
Bond_428,B,105.79,4.92,Issuer_A,2029-07-08,USD,16.86,0.18,3.51,DE,337000000,Y,Corporates
Bond_429,CCC,93.37,1.57,Issuer_B,2026-02-12,JPY,21.54,0.96,4.08,US,185000000,N,Governments
Bond_430,BBB,101.56,2.11,Issuer_D,2025-03-28,GBP,66.78,0.18,2.76,DE,493000000,Y,Corporates
Bond_431,B,104.15,1.43,Issuer_B,2032-04-23,EUR,62.46,0.8,0.67,DE,930000000,Y,Corporates
Bond_432,B,106.87,2.21,Issuer_B,2034-01-04,USD,6.99,0.39,1.87,GB,571000000,N,Corporates
Bond_433,BB,92.85,3.09,Issuer_D,2028-01-03,JPY,86.19,0.31,1.75,GB,217000000,Y,Corporates
Bond_434,B,98.76,4.91,Issuer_D,2029-09-28,USD,96.41,0.52,3.15,FR,152000000,N,Governments
Bond_435,BB,96.44,0.05,Issuer_D,2033-04-22,EUR,92.64,0.58,1.36,JP,889000000,N,Governments
Bond_437,CCC,103.88,3.98,Issuer_B,2032-01-08,EUR,100.0,0.9,1.22,JP,149000000,Y,Corporates
Bond_438,B,93.99,1.63,Issuer_B,2028-11-25,EUR,24.61,0.2,0.35,FR,375000000,N,Governments
Bond_439,CCC,95.45,1.55,Issuer_A,2033-04-14,JPY,84.17,0.21,3.98,US,503000000,Y,Corporates
Bond_441,AA,102.91,0.48,Issuer_D,2026-12-17,USD,86.22,0.12,2.81,DE,986000000,Y,Corporates
Bond_442,A,104.67,1.71,Issuer_A,2029-08-25,USD,98.0,0.38,4.31,US,587000000,Y,Corporates
Bond_443,A,105.79,2.48,Issuer_C,2028-02-21,JPY,76.63,0.49,2.26,US,450000000,N,Governments
Bond_445,AAA,103.0,0.79,Issuer_A,2031-04-08,USD,92.8,0.84,4.46,GB,234000000,Y,Corporates
Bond_446,B,99.71,1.98,Issuer_B,2026-01-19,USD,59.43,0.99,2.86,GB,552000000,N,Corporates
Bond_447,A,90.63,0.8,Issuer_B,2025-09-12,EUR,68.08,0.19,2.46,JP,176000000,N,Corporates
Bond_448,BBB,90.63,4.73,Issuer_C,2030-09-18,EUR,49.27,0.36,0.95,DE,392000000,N,Governments
Bond_449,BB,106.55,3.72,Issuer_D,2034-06-08,EUR,38.06,0.12,4.56,DE,977000000,Y,Corporates
Bond_450,AAA,109.57,4.37,Issuer_D,2029-10-15,EUR,63.62,0.21,0.83,GB,236000000,Y,Corporates
Bond_452,CCC,102.62,1.0,Issuer_C,2030-02-18,EUR,70.91,0.91,2.67,GB,825000000,N,Corporates
Bond_453,B,92.26,0.38,Issuer_C,2029-06-05,EUR,45.88,0.91,4.23,DE,647000000,Y,Corporates
Bond_454,BB,98.27,3.3,Issuer_A,2033-08-06,EUR,89.04,0.53,2.49,FR,259000000,N,Governments
Bond_456,BBB,95.19,3.09,Issuer_D,2026-01-03,EUR,27.11,0.36,3.92,FR,50000000,Y,Corporates
Bond_458,AAA,101.99,0.74,Issuer_B,2027-02-28,GBP,74.53,0.1,0.88,DE,642000000,N,Governments
Bond_459,BBB,101.64,2.48,Issuer_C,2029-04-18,EUR,85.62,0.31,0.22,DE,934000000,Y,Corporates
Bond_460,CCC,97.04,2.95,Issuer_B,2026-09-16,EUR,79.59,0.18,1.34,GB,92000000,Y,Corporates
Bond_461,B,97.97,4.03,Issuer_C,2029-12-20,USD,82.66,0.59,4.14,FR,385000000,Y,Corporates
Bond_463,BB,95.88,2.22,Issuer_C,2027-06-23,JPY,39.61,0.8,4.83,US,224000000,Y,Corporates
Bond_464,AA,99.97,0.55,Issuer_D,2026-12-28,JPY,91.25,0.66,0.89,FR,14000000,N,Corporates
Bond_465,BB,95.97,3.95,Issuer_A,2029-05-24,GBP,50.21,0.5,4.56,FR,571000000,N,Corporates
Bond_466,AAA,91.94,3.58,Issuer_C,2032-06-09,JPY,32.71,0.16,0.19,JP,61000000,N,Corporates
Bond_467,BBB,101.66,3.86,Issuer_C,2029-05-22,JPY,59.18,0.34,1.65,FR,150000000,N,Corporates
Bond_468,B,103.17,2.46,Issuer_A,2034-08-22,EUR,32.94,1.0,4.13,GB,498000000,Y,Corporates
Bond_469,B,90.89,4.13,Issuer_A,2034-03-14,GBP,34.35,0.61,1.9,FR,223000000,N,Governments
Bond_471,AAA,97.64,2.56,Issuer_C,2030-02-01,GBP,39.42,0.96,0.68,GB,142000000,N,Corporates
Bond_472,A,98.72,3.89,Issuer_C,2035-12-04,USD,60.95,0.9,0.71,JP,939000000,Y,Corporates
Bond_473,A,105.2,3.95,Issuer_D,2034-02-03,USD,85.94,0.78,4.79,FR,19000000,N,Governments
Bond_474,B,98.96,2.21,Issuer_D,2030-06-01,JPY,17.29,0.66,4.25,GB,438000000,Y,Corporates
Bond_476,BB,109.84,2.87,Issuer_D,2032-01-08,EUR,22.28,0.44,1.84,GB,371000000,Y,Corporates
Bond_477,B,98.93,4.04,Issuer_A,2026-06-08,GBP,81.93,0.26,4.01,US,603000000,Y,Corporates
Bond_482,AA,106.34,3.63,Issuer_D,2027-09-14,EUR,70.43,0.82,0.44,US,116000000,Y,Corporates
Bond_483,BBB,97.02,1.04,Issuer_C,2028-10-21,USD,92.83,0.13,4.54,US,199000000,Y,Corporates
Bond_485,B,100.61,4.4,Issuer_B,2032-02-24,EUR,12.16,0.08,1.71,JP,248000000,N,Corporates
Bond_486,A,98.73,0.18,Issuer_B,2035-12-25,JPY,47.48,0.29,0.08,GB,366000000,Y,Corporates
Bond_488,CCC,94.95,3.68,Issuer_B,2034-11-21,GBP,76.52,0.07,4.52,US,245000000,N,Corporates
Bond_490,AAA,90.82,4.59,Issuer_D,2033-04-14,USD,82.34,0.52,3.08,JP,947000000,Y,Corporates
Bond_491,BBB,105.27,0.29,Issuer_B,2033-05-04,JPY,55.25,0.55,2.87,DE,886000000,N,Governments
Bond_492,AA,96.62,3.91,Issuer_C,2031-06-18,JPY,61.19,0.14,3.4,US,638000000,Y,Corporates
Bond_493,B,93.43,4.53,Issuer_C,2031-04-24,JPY,24.21,0.23,2.36,GB,16000000,Y,Corporates
Bond_494,B,104.9,4.74,Issuer_D,2028-07-15,EUR,22.11,0.27,1.83,FR,964000000,Y,Corporates
Bond_495,B,95.45,4.86,Issuer_D,2034-03-06,USD,60.77,0.33,3.79,GB,99000000,Y,Corporates
Bond_496,BB,105.18,3.07,Issuer_D,2034-02-23,USD,20.35,0.17,1.98,JP,266000000,Y,Corporates
Bond_498,B,108.79,3.55,Issuer_D,2028-07-03,USD,1.23,0.93,0.9,GB,70000000,Y,Corporates
Bond_499,B,98.29,1.48,Issuer_A,2027-11-24,EUR,46.22,0.06,4.1,FR,360000000,Y,Corporates
Bond_500,A,92.05,0.4,Issuer_C,2032-03-19,GBP,43.37,1.0,1.03,JP,106000000,Y,Corporates
Bond_501,B,98.89,1.93,Issuer_B,2030-07-21,JPY,25.12,0.66,2.46,US,341000000,Y,Corporates
Bond_502,BBB,107.45,1.68,Issuer_A,2033-06-05,USD,7.49,0.14,0.23,JP,447000000,Y,Corporates
Bond_503,B,97.25,2.5,Issuer_D,2033-06-26,GBP,1.95,0.95,4.29,DE,815000000,Y,Corporates
Bond_504,BB,99.82,2.15,Issuer_C,2034-05-20,USD,67.67,0.81,1.69,DE,311000000,Y,Corporates
Bond_505,BB,100.72,1.72,Issuer_A,2026-06-16,JPY,16.4,0.95,2.13,US,80000000,N,Governments
Bond_506,A,98.16,0.83,Issuer_D,2032-10-25,EUR,24.74,0.12,0.68,JP,37000000,N,Governments
Bond_507,BB,109.22,1.93,Issuer_D,2027-09-18,GBP,33.09,0.51,0.32,DE,509000000,Y,Corporates
Bond_508,A,102.5,1.16,Issuer_D,2029-06-12,GBP,76.79,0.99,2.66,JP,81000000,Y,Corporates
Bond_511,CCC,92.73,1.66,Issuer_C,2030-11-09,GBP,90.12,0.84,3.23,DE,775000000,Y,Corporates
Bond_512,B,100.45,1.55,Issuer_C,2026-03-12,JPY,58.02,0.09,1.9,US,809000000,Y,Corporates
Bond_513,BB,97.32,4.87,Issuer_A,2025-10-26,JPY,22.56,0.49,3.23,FR,668000000,Y,Corporates
Bond_514,BBB,102.44,2.01,Issuer_B,2029-01-16,USD,8.44,0.6,2.93,FR,17000000,Y,Corporates
Bond_515,AAA,96.87,4.11,Issuer_C,2034-03-14,EUR,27.84,0.12,1.99,JP,896000000,N,Governments
Bond_516,B,108.89,1.75,Issuer_D,2034-05-08,EUR,0.39,0.07,2.43,DE,290000000,Y,Corporates
Bond_517,BBB,106.16,3.83,Issuer_D,2027-06-08,JPY,3.77,0.71,3.54,GB,119000000,N,Corporates
Bond_518,A,97.19,0.88,Issuer_B,2035-07-07,EUR,15.75,0.21,1.07,FR,404000000,Y,Corporates
Bond_519,AAA,104.45,1.31,Issuer_D,2029-02-26,EUR,95.35,0.87,2.59,DE,312000000,Y,Corporates
Bond_521,A,90.74,2.76,Issuer_B,2025-11-23,JPY,83.91,0.26,4.4,US,559000000,Y,Corporates
Bond_523,AA,96.9,0.56,Issuer_D,2030-05-04,GBP,19.3,0.28,0.81,GB,633000000,Y,Corporates
Bond_524,B,92.81,3.76,Issuer_B,2032-10-23,JPY,55.14,0.38,3.13,GB,453000000,Y,Corporates
Bond_525,CCC,92.27,1.69,Issuer_B,2028-11-17,USD,30.75,0.95,1.92,DE,784000000,Y,Corporates
Bond_526,B,107.01,4.62,Issuer_A,2033-02-02,EUR,41.54,0.84,1.56,US,257000000,N,Governments
Bond_527,BB,97.99,1.26,Issuer_D,2026-06-15,JPY,17.57,0.78,2.56,DE,798000000,Y,Corporates
Bond_529,B,93.75,3.91,Issuer_A,2028-04-05,EUR,67.61,0.65,3.23,FR,869000000,N,Governments
Bond_530,AA,107.42,1.53,Issuer_C,2034-01-19,EUR,85.3,0.86,2.82,US,27000000,Y,Corporates
Bond_531,CCC,95.77,2.47,Issuer_B,2033-04-23,GBP,10.19,0.93,1.41,JP,85000000,Y,Corporates
Bond_532,B,93.38,3.87,Issuer_B,2025-06-20,EUR,49.14,0.36,2.81,DE,263000000,N,Governments
Bond_533,BBB,104.89,4.3,Issuer_D,2029-10-14,USD,59.97,0.22,1.2,GB,861000000,Y,Corporates
Bond_536,BBB,90.03,3.01,Issuer_B,2028-03-12,USD,38.37,0.98,4.14,JP,940000000,Y,Corporates
Bond_537,AA,104.3,3.6,Issuer_B,2025-04-27,EUR,86.38,0.49,2.01,FR,381000000,N,Corporates
Bond_538,AA,99.55,4.79,Issuer_B,2026-10-03,EUR,34.57,0.13,0.7,FR,10000000,Y,Corporates
Bond_539,BB,101.66,0.09,Issuer_A,2030-05-17,JPY,40.23,0.9,1.84,US,415000000,Y,Corporates
Bond_540,BBB,99.89,4.01,Issuer_A,2030-07-05,JPY,83.49,0.48,2.42,US,246000000,Y,Corporates
Bond_541,CCC,104.23,1.38,Issuer_C,2031-09-04,USD,87.0,0.64,4.27,US,292000000,N,Corporates
Bond_542,BB,99.86,4.96,Issuer_C,2028-11-26,JPY,43.1,0.03,4.26,US,534000000,N,Corporates
Bond_543,BBB,93.94,3.99,Issuer_C,2034-11-10,USD,35.61,0.41,0.23,DE,799000000,Y,Corporates
Bond_545,CCC,92.8,4.92,Issuer_C,2027-09-03,JPY,99.69,0.47,0.94,JP,635000000,Y,Corporates
Bond_546,AA,96.66,0.36,Issuer_A,2033-12-19,USD,14.41,0.33,0.15,JP,929000000,Y,Corporates
Bond_547,B,98.49,1.3,Issuer_C,2027-07-02,GBP,84.09,0.26,4.38,US,832000000,Y,Corporates
Bond_548,BB,90.83,2.04,Issuer_D,2029-08-03,GBP,56.2,0.12,4.01,FR,609000000,N,Corporates
